Season,Mapped ESPN Team Name,Seed,Net Rating,Adjusted Tempo,Adjusted Offensive Efficiency,Avg Possession Length (Offense),eFGPct,TOPct,ORPct,FTRate,Off3PtFG,FTPct,Bench,Adjusted Defensive Efficiency,Avg Possession Length (Defense),DefFT,cinderella
2017,Wichita State,10,26.10000000000001,68,118.7,17.1,54.0895813047712,16.2520302147516,34.2600163532298,40.3115871470302,32.0254506892895,73.3091787439614,42.59,92.6,17.4,21.8364550022841,0
2014,Tennessee,11,23.700000000000003,61.6,117.9,19.7,49.7485,16.7931,39.6748,41.7505,22.6107,71.8072,24.03,94.2,18.5,19.2204,0
2008,Davidson,10,23.59999999999999,66.2,117,NA,54.0816,16.738,32.5454,26.2933,34.3529,72.5632,30.81,93.4,NA,19.3417,0
2016,Wichita State,11,22.59999999999999,66,111.3,18,48.9097,14.7533,31.59583,37.37323,29.6462,71.9132,42.07,88.7,18,26.5408,0
2017,Oklahoma State,10,22.5,70.4,126,16.5,53.9818548387097,18.2287448299694,38.3406113537118,37.3991935483871,31.4631463146315,78.8409703504043,34.14,103.5,16.6,23.6421725239617,0
2021,UCLA,11,22.40000000000001,63.8,116.9,19,52.0215633423181,15.6859105253388,30.4511278195489,31.5902964959569,27.8416347381865,71.5017064846416,27.39,94.5,17.9,16.62100456621,0
2016,Gonzaga,11,20.799999999999997,67.3,116.3,17.6,55.2032,17.0744,32.1366,34.39049,29.6296,75.7925,22.59,95.5,17.4,18.0952,0
2015,Ohio State,10,20.799999999999997,65.2,115.6,16.3,54.2356,17.0248,33.5355,34.7368,26.8691,67.9654,30.01,94.8,19.9,17.4387,0
2004,Louisville,10,20.5,67.4,107.1,NA,48.6733,19.6028,32.4312,35.3184,33.254,75.2922,NA,86.6,NA,21.5169,0
2014,Iowa,11,20.40000000000001,68.6,120.2,15.1,51.1599,15.7847,37.6054,45.2849,21.309,73.4967,40.68,99.8,19.3,20.8531,0
2025,North Carolina,11,20.299999999999997,70.7,119.2,16.2,54.1031390134529,15.0684151595089,29.1230893000805,34.7533632286995,29.6283896886508,74.0645161290323,30.12,98.9,17.8,18.5667752442997,0
2004,Nevada,10,20.299999999999997,68.7,112.3,NA,49.3306,18.221,36.9437,41.1946,19.9599,72.375,NA,92,NA,20.5011,0
2002,Kent State,10,20.299999999999997,64.7,116.7,NA,51.9685,16.472,38.0992,35.6791,24.2998,73.1034,NA,96.4,NA,21.0997,0
2010,Missouri,10,20,68.8,111.5,15.2,50.1426,17.6468,33.9623,33.9354,29.4633,72.409,38.08,91.5,18.5,22.9574,0
2010,Utah State,12,19.90000000000001,59.8,116,19.7,55.0748,16.2877,33.4623,29.594,28.0532,75.6318,29.86,96.1,18.5,18.6375,0
2013,Minnesota,11,19.799999999999997,62.3,114.8,18.7,49.374,21.5216,43.8261,41.5896,23.62,68.4555,30.17,95,18.9,21.844,0
2007,Georgia Tech,10,19.60000000000001,67.2,116.9,NA,54.2431,21.8881,41.7485,34.154,23.9761,68.0982,35.7,97.3,NA,23.8524,0
2005,Utah State,14,19.59999999999999,61.1,116,NA,58.2048,19.8646,35.0486,38.1863,23.9741,69.1438,NA,96.4,NA,15.5844,0
